Date,Country,City,Specie,count,min,max,median,variance
04-04-2020,IN,Delhi,co,844,0.1,85.9,5.5,328.09
15-02-2020,IN,Delhi,co,862,0.1,44,8.2,338.04
17-03-2020,IN,Delhi,co,829,0.1,67.8,7.8,861.62
25-03-2020,IN,Delhi,co,758,0.2,81.4,5.8,388.27
26-03-2020,IN,Delhi,co,766,0.3,84.6,5.3,362.76
22-04-2020,IN,Delhi,co,775,0.2,86.1,6.9,288.14
18-03-2020,IN,Delhi,co,811,0.1,85.9,8.4,477.12
09-04-2020,IN,Delhi,co,849,0.1,81.2,5.5,255.12
03-06-2020,IN,Delhi,co,898,0.1,81.3,7.3,340.05
12-06-2020,IN,Delhi,co,862,0.1,86,8.2,387.18
30-06-2020,IN,Delhi,co,732,0.1,84.2,6.9,486.74
23-01-2020,IN,Delhi,co,793,0.1,38,8,317.67
12-02-2020,IN,Delhi,co,884,0.1,44.8,11.1,414.76
29-02-2020,IN,Delhi,co,862,0.1,63,6.7,212.38
19-07-2020,IN,Delhi,co,405,0.1,85.5,6.7,705.72
21-03-2020,IN,Delhi,co,875,0.2,86,8,765.37
27-03-2020,IN,Delhi,co,784,0.1,30.6,4.5,202.71
26-04-2020,IN,Delhi,co,798,0.1,66,6.2,312.17
29-04-2020,IN,Delhi,co,741,0.1,64.9,7,515.77
20-05-2020,IN,Delhi,co,865,0.1,100.5,7.5,526.19
01-01-2020,IN,Delhi,co,864,0.1,148.2,22.6,5743.53
05-01-2020,IN,Delhi,co,808,0.1,38.7,11.3,475.75
26-02-2020,IN,Delhi,co,825,0.1,60.6,13.1,667.97
08-07-2020,IN,Delhi,co,901,0.1,86.4,6.6,381.48
06-04-2020,IN,Delhi,co,840,0.1,36.9,7.2,250.05
09-05-2020,IN,Delhi,co,833,0.1,84.2,6.6,339.25
02-07-2020,IN,Delhi,co,908,0.1,38.1,7.6,196.8
17-04-2020,IN,Delhi,co,707,0.1,84.4,4.9,239.92
02-05-2020,IN,Delhi,co,760,0.1,84.2,6.2,394.11
04-06-2020,IN,Delhi,co,936,0.1,79.1,8.4,391.42
13-02-2020,IN,Delhi,co,882,0.1,84.9,7.8,335.46
20-02-2020,IN,Delhi,co,877,0.1,60.6,9.2,226.51
05-03-2020,IN,Delhi,co,791,0.1,64.8,6.2,466.45
28-02-2020,IN,Delhi,co,868,0.1,38.9,7.8,189.26
29-03-2020,IN,Delhi,co,771,0.3,81.9,4.4,214.78
08-04-2020,IN,Delhi,co,855,0.2,81.2,4.4,209.3
26-05-2020,IN,Delhi,co,858,0.2,86.1,8.1,662.95
11-06-2020,IN,Delhi,co,818,0.1,83.6,7.4,439.43
09-01-2020,IN,Delhi,co,803,0.1,167,8.2,1564.18
22-01-2020,IN,Delhi,co,859,0.1,68.2,16.1,834.84
25-02-2020,IN,Delhi,co,772,0.1,42.9,10.6,488
01-07-2020,IN,Delhi,co,892,0.1,41.6,7.4,207.65
31-03-2020,IN,Delhi,co,835,0.1,81.4,4.6,352.03
02-04-2020,IN,Delhi,co,810,0.2,85.3,5,297.55
04-05-2020,IN,Delhi,co,744,0.1,82.7,6,327
08-05-2020,IN,Delhi,co,793,0.1,85.7,6.8,313.71
10-05-2020,IN,Delhi,co,786,0.1,85.7,6.4,305.13
28-01-2020,IN,Delhi,co,867,0.1,53.6,10.9,461.89
08-02-2020,IN,Delhi,co,890,0.1,71.6,10.7,468.87
30-03-2020,IN,Delhi,co,836,0.3,84.9,4.8,216.52
11-07-2020,IN,Delhi,co,856,0.1,47.9,6.3,539.92
19-02-2020,IN,Delhi,co,830,0.2,78.5,11.7,1638.41
24-03-2020,IN,Delhi,co,830,0.1,67,7.1,511.38
24-04-2020,IN,Delhi,co,755,0.1,45.4,7.5,260.16
24-06-2020,IN,Delhi,co,859,0.1,83.2,6.8,696.28
30-12-2019,IN,Delhi,co,923,0.1,61.6,19.1,1048.54
14-01-2020,IN,Delhi,co,870,0.1,151.7,10.9,634.16
20-01-2020,IN,Delhi,co,768,0.1,130.1,11.8,1557.89
06-06-2020,IN,Delhi,co,901,0.1,85,6.4,271.05
21-06-2020,IN,Delhi,co,809,0.1,85.3,7.1,357.62
27-06-2020,IN,Delhi,co,859,0.1,85.7,6.5,711.28
18-01-2020,IN,Delhi,co,795,0.1,42.1,12.5,532.13
02-03-2020,IN,Delhi,co,846,0.2,63,12.4,941.48
01-04-2020,IN,Delhi,co,809,0.1,83.6,5,387.76
17-05-2020,IN,Delhi,co,821,0.1,68.2,8.5,351.79
23-06-2020,IN,Delhi,co,824,0.1,83.7,6.4,418.57
07-01-2020,IN,Delhi,co,874,0.1,32.3,10.5,321.49
21-01-2020,IN,Delhi,co,792,0.1,69.5,16,966.89
05-04-2020,IN,Delhi,co,857,0.1,86,6.8,241.68
10-01-2020,IN,Delhi,co,851,0.1,81.3,11.1,731.39
06-05-2020,IN,Delhi,co,820,0.1,86.4,6.7,388.61
12-07-2020,IN,Delhi,co,847,0.1,82.5,5.8,521.92
28-03-2020,IN,Delhi,co,840,0.3,80.3,4.6,182.19
25-04-2020,IN,Delhi,co,781,0.1,84.2,5.2,380.56
11-05-2020,IN,Delhi,co,786,0.1,85.4,6.4,512.65
05-02-2020,IN,Delhi,co,898,0.1,63.4,11.5,521.47
17-02-2020,IN,Delhi,co,877,0.1,73.1,12.2,1055.07
21-02-2020,IN,Delhi,co,781,0.1,82.9,7.5,441.83
01-06-2020,IN,Delhi,co,872,0.1,83.9,7.4,558.97
02-06-2020,IN,Delhi,co,856,0.1,49.2,6.6,364.29
17-06-2020,IN,Delhi,co,886,0.1,85.9,6.6,742.34
22-06-2020,IN,Delhi,co,842,0.1,45.5,7.3,376.11
03-07-2020,IN,Delhi,co,894,0.1,71.6,7.8,273.14
08-01-2020,IN,Delhi,co,823,0.1,108,11.2,650.21
31-01-2020,IN,Delhi,co,904,0.1,85.5,10.4,481.54
